COD CURSO,NUM VERSAO,DESCR ESTRUTURA,COD DISCIPLINA,NOME UNIDADE,COD ESTRUTURADO,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,TIPO AULA,NUM HORAS,CONTA CH,TIPO DISCIPLINA,SITUACAO VERSAO,CH TOTAL,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO,EMENTA
210,2000/2,Disciplinas obrigatórias,HDP0502,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,DIREITO E ÉTICA PROFISSIONAL,8,4,Teórica,60,S,Obrigatória,I,60,10,13,133,ATIVA,
210,2000/2,Disciplinas obrigatórias,HHI0033,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,História da Ciência e da Tecnologia,1,4,Prática,0,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,HHI0033,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,História da Ciência e da Tecnologia,1,4,Teórica,60,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,HTD0051,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Expressão Oral e Escrita,4,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,HTD0051,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Expressão Oral e Escrita,4,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,HTD0052,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,LEITURA E PRODUÇÃO DE TEXTOS,5,3,Prática,30,S,Obrigatória,I,60,10,13,133,INATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,HTD0052,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,LEITURA E PRODUÇÃO DE TEXTOS,5,3,Teórica,30,S,Obrigatória,I,60,10,13,133,INATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0005,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Introdução à Lógica Computacional,1,4,Prática,0,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0005,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Introdução à Lógica Computacional,1,4,Teórica,60,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0006,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Programas Utilitários Básicos,1,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0006,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Programas Utilitários Básicos,1,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0007,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TÉCNICAS DE PROGRAMAÇÃO I,1,3,Prática,30,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0007,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TÉCNICAS DE PROGRAMAÇÃO I,1,3,Teórica,60,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
