COD CURSO,NUM VERSAO,DESCR ESTRUTURA,COD DISCIPLINA,NOME UNIDADE,COD ESTRUTURADO,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,TIPO AULA,NUM HORAS,CONTA CH,TIPO DISCIPLINA,SITUACAO VERSAO,EMENTA,CH TOTAL,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO
210,2008/1,01. Fundamentação Mat. da Ciência da Computação - 240 Horas,TIN0105,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,INTRODUÇÃO À LÓGICA COMPUTACIONAL,2,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5034,ATIVA
210,2008/1,01. Fundamentação Mat. da Ciência da Computação - 240 Horas,TIN0109,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,ESTRUTURAS DISCRETAS,3,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5034,ATIVA
210,2008/1,01. Fundamentação Mat. da Ciência da Computação - 240 Horas,TIN0118,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,ANÁLISE DE ALGORITMOS,5,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5034,ATIVA
210,2008/1,01. Fundamentação Mat. da Ciência da Computação - 240 Horas,TIN0119,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,LINGUAGENS FORMAIS E AUTÔMATOS,4,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5034,ATIVA
210,2008/1,02. Programação e Estruturas de Dados - 300 Horas,TIN0011,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TÉCNICAS DE PROGRAMAÇÃO II,2,5,Prática,30,S,Obrigatória,A,[object Object],90,10,339,5035,ATIVA
210,2008/1,02. Programação e Estruturas de Dados - 300 Horas,TIN0011,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TÉCNICAS DE PROGRAMAÇÃO II,2,5,Teórica,60,S,Obrigatória,A,[object Object],90,10,339,5035,ATIVA
210,2008/1,02. Programação e Estruturas de Dados - 300 Horas,TIN0107,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TÉCNICAS DE PROGRAMAÇÃO-I,1,5,Teórica,60,S,Obrigatória,A,[object Object],90,10,339,5035,ATIVA
210,2008/1,02. Programação e Estruturas de Dados - 300 Horas,TIN0107,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TÉCNICAS DE PROGRAMAÇÃO-I,1,5,Prática,30,S,Obrigatória,A,[object Object],90,10,339,5035,ATIVA
210,2008/1,02. Programação e Estruturas de Dados - 300 Horas,TIN0114,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,ESTRUTURAS DE DADOS-I,3,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5035,ATIVA
210,2008/1,02. Programação e Estruturas de Dados - 300 Horas,TIN0168,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,ESTRUTURAS DE DADOS II,4,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5035,ATIVA
210,2008/1,03. Sistemas de Informação - 180 Horas,TIN0106,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,DESENVOLVIMENTO DE PÁGINAS WEB,1,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5036,ATIVA
210,2008/1,03. Sistemas de Informação - 180 Horas,TIN0110,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,INTERAÇÃO HUMANO-COMPUTADOR,4,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5036,ATIVA
210,2008/1,03. Sistemas de Informação - 180 Horas,TIN0112,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,1,4,Teórica,60,S,Obrigatória,A,[object Object],60,10,339,5036,ATIVA
