COD CURSO,NOME UNIDADE,NUM VERSAO,DESCR ESTRUTURA,COD DISCIPLINA,NOME DISCIPLINA,COD PRE REQ,NOME PRE REQ,TIPO REQUISITO,ITEM TABELA,ID ESTRUTURA CUR,PERIODO IDEAL
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.1-VISÃO SISTÊMICA (SISTEMAS DE INFORMAÇÃO) 330H,TIN0209,Projeto Integrador I,TIN0207,Informação e Sociedade,Disciplina,1,8492,2
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.1-VISÃO SISTÊMICA (SISTEMAS DE INFORMAÇÃO) 330H,TIN0209,Projeto Integrador I,TIN0208,Interação Humano-Computador,Disciplina,1,8492,2
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.1-VISÃO SISTÊMICA (SISTEMAS DE INFORMAÇÃO) 330H,TIN0209,Projeto Integrador I,TIN0222,Algoritmos e Programação,Disciplina,1,8492,2
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.1-VISÃO SISTÊMICA (SISTEMAS DE INFORMAÇÃO) 330H,TIN0210,Projeto Integrador II,TIN0209,Projeto Integrador I,Disciplina,1,8492,4
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.1-VISÃO SISTÊMICA (SISTEMAS DE INFORMAÇÃO) 330H,TIN0210,Projeto Integrador II,TIN0228,Análise e Projeto de Sistemas,Disciplina,1,8492,4
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.1-VISÃO SISTÊMICA (SISTEMAS DE INFORMAÇÃO) 330H,TIN0210,Projeto Integrador II,TIN0232,Modelagem da Informação,Disciplina,1,8492,4
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.1-VISÃO SISTÊMICA (SISTEMAS DE INFORMAÇÃO) 330H,TIN0211,Metodologia Científica e Tecnológica,TIN0210,Projeto Integrador II,Disciplina,1,8492,5
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.2-VISÃO SISTÊMICA (FUNDAMENTOS DE MATEMÁTICA) 360H,TMQ0007,Probabilidade,TMT0046,Cálculo Diferencial e Integral II,Disciplina,1,8493,4
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.2-VISÃO SISTÊMICA (FUNDAMENTOS DE MATEMÁTICA) 360H,TMQ0008,Estatística,TMT0044,Álgebra Linear,Disciplina,1,8493,5
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),2023/2,1.2-VISÃO SISTÊMICA (FUNDAMENTOS DE MATEMÁTICA) 360H,TMQ0008,Estatística,TMQ0007,Probabilidade,Disciplina,1,8493,5
