COD_CURSO;NOME_UNIDADE;NUM_VERSAO;DESCR_ESTRUTURA;NOME_DISCIPLINA;NOME_DISC_EQUIV;TIPO_EQUIVALENCIA;BLOCO

210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;01. Fundamentação Mat. da Ciência da Computação - 240 Horas;TIN0105 - INTRODUÇÃO À LÓGICA COMPUTACIONAL;TIN0005 - Introdução à Lógica Computacional;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;01. Fundamentação Mat. da Ciência da Computação - 240 Horas;TIN0109 - ESTRUTURAS DISCRETAS;TIN0009 - Estruturas Discretas;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;01. Fundamentação Mat. da Ciência da Computação - 240 Horas;TIN0118 - ANÁLISE DE ALGORITMOS;TIN0018 - Análise de Algoritmos;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;01. Fundamentação Mat. da Ciência da Computação - 240 Horas;TIN0119 - LINGUAGENS FORMAIS E AUTÔMATOS;TIN0019 - Linguagens Formais e Autômatos;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;02. Programação e Estruturas de Dados - 300 Horas;TIN0011 - TÉCNICAS DE PROGRAMAÇÃO II;;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;02. Programação e Estruturas de Dados - 300 Horas;TIN0107 - TÉCNICAS DE PROGRAMAÇÃO-I;TIN0007 - TÉCNICAS DE PROGRAMAÇÃO I;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;02. Programação e Estruturas de Dados - 300 Horas;TIN0114 - ESTRUTURAS DE DADOS-I;TIN0014 - Estruturas de Dados;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;02. Programação e Estruturas de Dados - 300 Horas;TIN0168 - ESTRUTURAS DE DADOS II;;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;03. Sistemas de Informação - 180 Horas;TIN0106 - DESENVOLVIMENTO DE PÁGINAS WEB;TIN0006 - Programas Utilitários Básicos;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;03. Sistemas de Informação - 180 Horas;TIN0110 - INTERAÇÃO HUMANO-COMPUTADOR;TIN0010 - Produtividade Pessoal com Sistemas de Informação;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;03. Sistemas de Informação - 180 Horas;TIN0112 - FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO;TIN0012 - Modelagem de Sistemas;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;04.Arquitetura de Comp ,Sistemas Oper. e Redes - 240 Horas;TIN0108 - ORGANIZAÇÃO DE COMPUTADORES;TIN0008 - Organização de Computadores;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;04.Arquitetura de Comp ,Sistemas Oper. e Redes - 240 Horas;TIN0116 - SISTEMAS OPERACIONAIS;TIN0016 - Sistemas Operacionais;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;04.Arquitetura de Comp ,Sistemas Oper. e Redes - 240 Horas;TIN0123 - REDES DE COMPUTADORES-I;TIN0023 - Redes de Computadores;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;04.Arquitetura de Comp ,Sistemas Oper. e Redes - 240 Horas;TIN0126 - REDES DE COMPUTADORES II;TIN0026 - Distribuição e Concorrência;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;05. Engenharia de Software - 300 Horas;TIN0115 - ANÁLISE DE SISTEMAS;TIN0015 - Análise e Projeto de Sistemas;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;05. Engenharia de Software - 300 Horas;TIN0121 - PROGRAMAÇÃO MODULAR;TIN0021 - Programação Modular;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;05. Engenharia de Software - 300 Horas;TIN0122 - PROCESSOS DE SOFTWARE;TIN0022 - Construção de Sistemas;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;05. Engenharia de Software - 300 Horas;TIN0132 - GERÊNCIA DE PROJETOS EM INFORMÁTICA;TIN0032 - Gerência de Projetos em Informática;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;05. Engenharia de Software - 300 Horas;TIN0171 - PROJETO E CONSTRUÇÃO DE SISTEMAS;TIN0028 - Projeto e Construção de Sistemas com Ambiente de Programação;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;06. Banco de Dados - 180 Horas;TIN0120 - BANCO DE DADOS-I;TIN0020 - Sistema de Banco de Dados;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;06. Banco de Dados - 180 Horas;TIN0125 - PROJETO E CONSTRUÇÃO DE SISTEMAS COMSGBD;TIN0025 - Projeto e Construção de Sistemas com SGDB;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;06. Banco de Dados - 180 Horas;TIN0169 - BANCO DE DADOS II;;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;07. Ciências Administrativas - 180 Horas;TIN0013 - Análise Empresarial e Administrativa;;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;07. Ciências Administrativas - 180 Horas;TIN0117 - ADMINISTRAÇÃO FINANCEIRA;TIN0017 - Administração Financeira;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;07. Ciências Administrativas - 180 Horas;TIN0130 - EMPREENDEDORISMO;TIN0030 - Empresa de Informática;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;HDI0142 - Língua Brasileira de Sinais;;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;HDI0164 - Culturas Afro Brasileiras em Sala de Aula;;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;SER0012 - EDUCAÇÃO AMBIENTAL E CIDADANIA;;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;TIN0128 - INFORMÁTICA NA EDUCAÇÃO;;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;TIN0135 - ADMINISTRAÇÃO DE BANCO DE DADOS;TIN0035 - Administração de Banco de Dados;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;TIN0136 - GERÊNCIA DE DADOS EM AMBIENTES DISTRIBUÍDOS E PARALELOS;TIN0036 - Banco de Dados Distribuídos e Datawarehousing;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;TIN0137 - TÓPICOS AVANÇADOS EM BANCO DE DADOS-I;TIN0037 - Tópicos Avançados em Banco de Dados;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;TIN0138 - COMUNICAÇÃO E SEGURANÇA DE DADOS;TIN0038 - Comunicação e Segurança de Dados;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;TIN0141 - TÓPICOS AVANÇADOS EM REDES DE COMPUTADORES-I;TIN0041 - Tópicos Avançados em Redes de Computadores;Disciplina Vencida;BLOCO 5
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);2008/1;08. Outras Áreas da Computação - OPTATIVAS - 480 Horas;TIN0142 - PROGRAMAÇÃO LINEAR;TIN0042 - Programação Linear;Disciplina Vencida;BLOCO 5
